"date","rank","code","name","sector","close","turnover","turnover_ma"
"2000-05-16","5","7267","本田技研工業","輸送用機器","329.330871582031","43783880715.0879","13887729652.9541"
"2000-05-16","6","6702","富士通","電気機器","2281.17822265625","9471451980.46875","11801967346.5821"
"2000-05-16","7","7751","キヤノン","電気機器","1393.62744140625","14123020491.2109","11646702187.8113"
"2000-05-16","8","6701","日本電気","電気機器","4304.72705078125","12270624458.252","11198323219.2139"
"2000-05-16","9","7203","トヨタ自動車","輸送用機器","561.185180664063","12559324343.2617","10915442842.2241"
"2000-05-16","10","8035","東京エレクトロン","電気機器","3335.9296875","4893808851.5625","9644356801.46485"
"2000-05-17","1","2914","日本たばこ産業","食料品","368.579315185547","260954155151.367","424651411196.899"
"2000-05-17","2","9432","ＮＴＴ","情報・通信業","68.4523239135742","266964063262.939","270615741195.679"
"2000-05-17","3","6857","アドバンテスト","電気機器","2215.1064453125","16062179856.25","25252145804.9219"
"2000-05-17","4","6758","ソニーグループ","電気機器","1944.77172851563","12857858283.0811","19928671848.5596"
"2000-05-17","5","7267","本田技研工業","輸送用機器","350.408142089844","19329914750.2442","16215953515.1367"
"2000-05-17","6","7751","キヤノン","電気機器","1393.62744140625","9987082651.97754","11544439223.0896"
"2000-05-17","7","7203","トヨタ自動車","輸送用機器","546.767395019531","12154639191.2842","11278964231.3232"
"2000-05-17","8","6701","日本電気","電気機器","4356.8642578125","9707093566.40625","10764622292.8467"
"2000-05-17","9","6702","富士通","電気機器","2266.55493164063","8309190379.39455","10719022204.6875"
"2000-05-17","10","8035","東京エレクトロン","電気機器","3406.86279296875","5202279484.86328","8805507580.3711"
"2000-05-18","1","2914","日本たばこ産業","食料品","365.110412597656","191317856201.172","374919836093.139"
"2000-05-18","2","9432","ＮＴＴ","情報・通信業","66.9082870483398","227488175964.355","239168846282.959"
"2000-05-18","3","6857","アドバンテスト","電気機器","2204.82592773438","12636298357.0313","22099767805.2344"
"2000-05-18","4","6758","ソニーグループ","電気機器","1898.5078125","19215746824.2188","17029314703.2715"
"2000-05-18","5","7267","本田技研工業","輸送用機器","348.651641845703","9037050556.64062","16659080293.5791"
"2000-05-18","6","7203","トヨタ自動車","輸送用機器","592.239013671875","22096437600.0977","13917971367.2485"
"2000-05-18","7","6701","日本電気","電気機器","4431.3388671875","13234193526.8555","11628266333.9844"
"2000-05-18","8","7751","キヤノン","電気機器","1396.62487792969","7658043361.90797","10709837138.1775"
"2000-05-18","9","6702","富士通","電気機器","2288.48974609375","9565887138.67188","9299047184.47266"
"2000-05-18","10","6971","京セラ","電気機器","1133.41918945313","11555435320.3126","8150117050.11721"
"2000-05-19","1","2914","日本たばこ産業","食料品","372.915588378906","302807457763.672","258624658422.851"
"2000-05-19","2","9432","ＮＴＴ","情報・通信業","65.8789367675781","319512843322.754","255484177703.857"
"2000-05-19","3","6758","ソニーグループ","電気機器","1789.45471191406","34208111000.3051","18307676608.2642"
